SourceFile,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20220928_094628_Jl.-Alueblang-0+100.JPG,20220928_094628_Jl.-Alueblang-0+100.JPG,2022:09:28 09:46:28,"5 deg 32' 6.50"" N, 95 deg 19' 16.31"" E","Jl. Alueblang
0+100"
D:/Data/20220928_094713_Jl.-Alueblang-0+150.JPG,20220928_094713_Jl.-Alueblang-0+150.JPG,2022:09:28 09:47:13,"5 deg 32' 6.14"" N, 95 deg 19' 13.78"" E","Jl. Alueblang
0+150"
D:/Data/20220928_094738_Jl.-Alueblang-0+200.JPG,20220928_094738_Jl.-Alueblang-0+200.JPG,2022:09:28 09:47:38,"5 deg 32' 6.19"" N, 95 deg 19' 12.30"" E","Jl. Alueblang
0+200"
D:/Data/20220928_094823_Jl.-Alueblang-0+300.JPG,20220928_094823_Jl.-Alueblang-0+300.JPG,2022:09:28 09:48:23,"5 deg 32' 7.72"" N, 95 deg 19' 10.57"" E","Jl. Alueblang
0+300"
D:/Data/20220928_094846_Jl.-Alueblang-0+350.JPG,20220928_094846_Jl.-Alueblang-0+350.JPG,2022:09:28 09:48:46,"5 deg 32' 8.06"" N, 95 deg 19' 8.95"" E","Jl. Alueblang
0+350"
D:/Data/20220928_094905_Jl.-Alueblang-0+400.JPG,20220928_094905_Jl.-Alueblang-0+400.JPG,2022:09:28 09:49:05,"5 deg 32' 9.53"" N, 95 deg 19' 8.73"" E","Jl. Alueblang
0+400"
D:/Data/20220928_094923_Jl.-Alueblang-0+440.JPG,20220928_094923_Jl.-Alueblang-0+440.JPG,2022:09:28 09:49:23,"5 deg 32' 10.31"" N, 95 deg 19' 8.68"" E","Jl. Alueblang
0+440"
D:/Data/20220928_095425_Jl.-Alueblang-aja-0+000.JPG,20220928_095425_Jl.-Alueblang-aja-0+000.JPG,2022:09:28 09:54:25,"5 deg 32' 8.47"" N, 95 deg 18' 57.06"" E","Jl. Alueblang aja
0+000"
D:/Data/20220928_095445_Jl.-Alueblang-aja-0+050.JPG,20220928_095445_Jl.-Alueblang-aja-0+050.JPG,2022:09:28 09:54:45,"5 deg 32' 9.05"" N, 95 deg 18' 58.82"" E","Jl. Alueblang aja
0+050"
D:/Data/20220928_095458_Jl.-Alueblang-aja-0+100.JPG,20220928_095458_Jl.-Alueblang-aja-0+100.JPG,2022:09:28 09:54:58,"5 deg 32' 9.17"" N, 95 deg 19' 0.44"" E","Jl. Alueblang aja
0+100"
D:/Data/20220928_095514_Jl.-Alueblang-aja-0+150.JPG,20220928_095514_Jl.-Alueblang-aja-0+150.JPG,2022:09:28 09:55:14,"5 deg 32' 9.34"" N, 95 deg 19' 2.25"" E","Jl. Alueblang aja
0+150"
D:/Data/20220928_095517_Jl.-Alueblang-aja-0+150.JPG,20220928_095517_Jl.-Alueblang-aja-0+150.JPG,2022:09:28 09:55:17,"5 deg 32' 9.37"" N, 95 deg 19' 2.66"" E","Jl. Alueblang aja
0+150"
D:/Data/20220928_135350_Jl.-Alueblang-aja-0+000.JPG,20220928_135350_Jl.-Alueblang-aja-0+000.JPG,2022:09:28 13:53:50,"5 deg 32' 9.00"" N, 95 deg 18' 57.58"" E","Jl. Alueblang aja
0+000"
D:/Data/20220928_135403_Jl.-Alueblang-aja-0+050.JPG,20220928_135403_Jl.-Alueblang-aja-0+050.JPG,2022:09:28 13:54:03,"5 deg 32' 8.84"" N, 95 deg 18' 58.21"" E","Jl. Alueblang aja
0+050"
